,port_name,recipient,region,commitment_year,aiddata_tuff_project_id,recommended_for_aggregates,umbrella,financier_country,implementation_start_year,completion_year,title,description,status,intent,flow_type,concessional,flow_class,funding_agencies,cofinancing_agencies,receiving_agencies,implementing_agencies,accountable_agencies,amount_constant_usd2021,latitude,longitude,osm_link,precision_level
0,Alto do Bandim Fishing Port,Guinea-Bissau,Africa,2017,57221,Yes,No,China (People's Republic of),2018,0,Chinese Government provides RMB 159 million grant for Phase 2 of the Alto do Bandim Fishing Port Project,"After the completion of a feasibility study in April 2016, the Chinese Government and the Government of Guinea-Bissau signed a grant agreement for Phase 2 of the Alto do Bandim Fishing Port Project on July 25, 2017. China’s Ministry of Commerce was the source of funding and it committed RMB 159 million in total. Phase 1 of the Alto do Bandim Fishing Port Project was financed by the African Development Bank with US$4 million and it included the construction of a pier, a fish auction and an administrative building. Phase 2 involved the construction of a 50-meter-long floating dock, new breakwaters, administrative and fishery trade buildings, connecting roads, and drainage and sewage pipe networks within a 300-meter area.  China Railway Guangzhou Engineering Group Corporation (CRGEG) was the contractor responsible for implementation. On October 31, 2018, a foundation stone laying ceremony took place. Then, on March 22, 2019, Guinea-Bissau’s Minister of Fisheries, Adiatu Djaló Nandigna, announced that Phase 2 would be completed in the next two years. However, project implementation was temporarily halted in the spring of 2020 due to the COVID-19 epidemic. Work resumed on July 15, 2020. Then, on August 10, 2020, 25,000 cubic meters of silt were successfully dredged from the port. The project has passed mid-course inspection in 12/24/2021.",Implementation,Development,Grant,Yes,ODA-like,China Ministry of Commerce,,Government of Guinea-Bissau,"China Railway Guangzhou Engineering Bureau Group Co., Ltd. (CRGEC)",,27114053.92,11.8390101,-15.588719,https://www.openstreetmap.org/node/5648640456,boundary not clear
1,Autonomous Port of Abidjan,Cote d'Ivoire,Africa,2014,30857,Yes,No,China (People's Republic of),2015,2022,China Eximbank provides $793.3 million preferential buyer's credit for Abidjan Autonomous Port Expansion and Modernization Project,"On December 6, 2014, China Eximbank and the Government of Cote d'Ivoire signed a $793,390,000 (CFA 423,630,219,153.44) preferential buyer's credit (PBC) agreement [CHINA EXIMBANK PBC NO. (2014) 43 TOTAL NO. (337)] for the Abidjan Autonomous Port Expansion and Modernization Project. The proceeds of the loan were then on-lent to the Abidjan Autonomous Port Authority (PAA). The borrowing terms of the PBC were as follows: a 20-year maturity, a 7-year grace period, and a 2% interest rate. The borrower was also required to maintain a minimum cash balance of CFA 3 billion in an escrow account (accessible to the lender).The proceeds of the PBC were used to be used by the borrower to finance 85% of the cost of a $933.4 million EPC contract between Abidjan Autonomous Port Authority (PAA) and China Harbour Engineering Co., Ltd. (CHEC), which was signed on January 11, 2013. The Government of Cote d'Ivoire was responsible for financing the remaining 15% of the commercial contract cost ($140,010,000). African Export-Import Bank (Afreximbank) also arranged an EUR 250 million syndicated bridge loan facility in 2014 for this project.According to the Government of Côte d'Ivoire’s Aid Management Platform (AMP), China Eximbank made 15 loan disbursements (worth CFA 459,375,056,353) between 2015 and 2020: a CFA 71,405,100,000 disbursement on September 30, 2015, a CFA 48,843,381,789 disbursement on April 30, 2016, a CFA 5,293,017,891 disbursement on June 30, 2016, a CFA 8,388,694,167 disbursement on October 31, 2016, a CFA 3,281,002,542 disbursement on November 30, 2016, a CFA 50,318,912,478 disbursement on December 31, 2016, a CFA 60,326,378,065 disbursement on December 31, 2017, a CFA 75,857,838,185 disbursement on October 31, 2018, a CFA 24,960,426,152 disbursement on May 31, 2019, a CFA 6,247,765,605 disbursement on September 30, 2019, a CFA 17,886,499,596 disbursement on October 31, 2019, a CFA 12,392,163,528 disbursement on December 31, 2019, a CFA 7,423,281,737 disbursement on March 31, 2020, a CFA 5,517,839,600 disbursement on April 30, 2010, and a CFA 61,232,755,018 disbursement on June 30, 2020.The project involved the enlargement of the Vridi canal (a link from Abidjan to the Atlantic Ocean), the construction of a second container terminal, and a roll-on/roll-off terminal. It was expected to start in the first quarter of 2015 and reach completion by 2021. CHEC was the EPC contractor responsible for implementation. A groundbreaking ceremony took place on October 6, 2015. The roll-on/roll-off terminal was finished at some point in 2018. On February 21, 2019, the enlargement of Vridi Canal was officially completed and handed over to the Government of Cote d'Ivoire. The project as a whole was officially completed on April 23, 2020, and a certificate of final acceptance was issued by the project owner in July 2021. However, the construction of the second container terminal was not completed until November 25, 2022. The modern container terminal, roll-on/roll-off terminal, jetties, and approach channels that were expanded and improved with financing from China Eximbank have reportedly increased the cargo handling capacity and efficiency of the port.This project suffered from major cash flow problems. According to the Government of Côte d'Ivoire’s Aid Management Platform (AMP), PAA had payment arrears to CHEC worth CFA 186 billion (China Eximbank share: CFA 165 billion; PAA share: CFA 21 billion) as of November 14, 2017. The AMP also notes that, as of November 14, 2017, the project was generating large financial outflows but it was not expected to generate revenue until 2020. To increase PAA’s revenue-generation capacity, the Ivorian authorities considered putting in place a special tax and customs regime (in accordance with Articles 4 and 43 of the PAA statutes) from 2020 to 2035. It is unclear if they ultimately did so. The Government of Cote d'Ivoire and PAA also secured an EUR 10,641,840 agreement with Matha Capital, JP Morgan, Société Générale Paris, and Ecobank to hedge its foreign exchange (USD/CFA) risk on its outstanding debt to China Eximbank for the Abidjan Autonomous Port Expansion and Modernization Project.",Completion,Mixed,Loan (excluding debt rescheduling),Yes,OOF-like,Export-Import Bank of China (China Eximbank),African Export-Import Bank (Afreximbank)|Bolloré Group|Ecobank|JPMorgan Chase & Co.|Matha Capital|Société Générale S.A. (SocGen),Abidjan Autonomous Port Authority (PAA)|Government of Côte d'Ivoire (Ivory Coast),"Abidjan Autonomous Port Authority (PAA)|Bolloré Group|China Harbour Engineering Co., Ltd.",,878358285.6,5.25689636,-4.0118364,https://www.openstreetmap.org/way/852907664,boundary not clear
2,Autonomous Port of Kribi,Cameroon,Africa,2011,350,Yes,No,China (People's Republic of),2010,2015,"China Eximbank provides $423 million preferential buyer's credit for Phase 1 of Kribi Deep Sea Port Project (Linked to Project ID#53396, #53116)","On January 12, 2011, China Eximbank signed a preferential buyer's credit (PBC) agreement [CHINA EXIMBANK PBC No.(2011) 1 TOTAL NO.(152) No. 1420303052011210025] with the Republic of Cameroon worth $423,000,000 USD for Phase 1 of Kribi Deep Sea Port Project. The borrowing terms of the PBC were as follows: a 2% interest rate, a 7 year grace period, a 20 year maturity, a 0.3% commitment fee, and a 0.3% management fee. The borrower agreed to deposit project-related revenues in a revenue account to facilitate repayment. The proceeds of the PBC were to be used by the borrower to finance 85% of the total cost ($497,468,255) of a commercial contract between China Harbour Engineering Company Limited and Cameroon's Ministry of Economy. The Republic of Cameroon originally agreed to cover the remaining 15% of the project cost, but it later renegotiated and reportedly did not pay for this component of the project. As of December 31, 2020, the loan (PBC) had achieved a 100% disbursement rate. The loan’s outstanding amount was equivalent to CFA 191.5 billion as of December 31, 2020.  The purpose of the project was undertake the first phase of the construct of a deep seaport in the Atlantic coast town of Kribi, 300 km south of Yaounde. Upon completion, the main port was expected to receive large vessels with a capacity close to 100,000 tons.  Construction began on January 10, 2010, and an official groundbreaking ceremony took place on October 8, 2011. The project was completed on April 6, 2015. Project ID#350 captures the China Eximbank PBC for Phase 1 of the Kribi Deep Sea Port Project. China Eximbank also provided financing for Phase 2 of the Kribi Deep Sea Port Project via a GCL (as captured via Project ID#53116) as well as a PBC (as captured via Project ID#53396). Phase 2 of the Kribi Deep Sea Port Project was completed on March 2, 2018.  Following a call for tenders, the right to manage the container terminal of the port was awarded to a consortium made up of CHEC and two French companies, Bolloré and CMA CGM, while the right to operate the multipurpose terminal went to the consortium of the French Necotrans and the Cameroonian Kribi Port Multi Operators (KPMO).There are some indications that the China Eximbank loan for the first and second phases of the Kribi Deep Sea Port Project may have financially underperformed vis-a-vis the original expectations of the lender. In January 2019, Cameroon unilaterally withheld debt service payments to China Eximbank. The lender responded by withholding new loan disbursements. Then, in July 2019, China Eximbank and the Government of Cameroon signed a debt rescheduling agreement (as captured via Project ID#88213). Under the terms of the agreement, China Eximbank agreed to reschedule 18 loans previously contracted by the Government of Cameroon — with scheduled principal repayments between July 2019 and March 2022 — by allowing the borrower to defer scheduled principal repayments between July 2019 and March 2022 to later dates but without any maturity extensions. The total amount of restructured debt was equivalent CFA 148 billion ($253 million) — or 70% of the loan principal that was scheduled for repayment between July 2019 and March 2022. Under the terms of the agreement, the Government of Cameroon agreed to repay 30% of the loan principal according to the original July 2019-March 2022 schedule (i.e. without any payment deferrals). The lender and the borrower also agreed to cancel the committed but undisbursed loan balances worth approximately CFA 10 billion (for certain loans with disbursement deadlines that had already passed). Then, in January 2020, the International Monetary Fund (IMF) classified the Government Cameroon as facing a high risk of debt distress. Eighteen months later, during an address before Cameroon’s National Assembly on June 28, 2021, the Minister of Water and Energy (MINEE) Gaston Eloundou Esommba provided an update on the ICBC-financed Bini à Warak Hydroelectric Power Plant Project. He noted that the project had been 'on hold' since November 2019 because ICBC suspended the loan agreement, even though the Government of Cameroon had already mobilized XAF 22 billion of counterpart funding. He also explained that 'the reason for this suspension is that Cameroon did not settle some of its debts towards China on time, so, it is in a cross-default situation.’",Completion,Mixed,Loan (excluding debt rescheduling),Yes,OOF-like,Export-Import Bank of China (China Eximbank),,"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)","Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)|China Harbour Engineering Co., Ltd.|Government of Cameroon",,520239316.7,2.7281082,9.86707244,https://www.openstreetmap.org/way/325526034,precise
3,Autonomous Port of Kribi,Cameroon,Africa,2017,53116,Yes,No,China (People's Republic of),0,2018,China Eximbank provides RMB 1 billion government concessional loan for Phase 2 of Kribi Deep Sea Port Project (Linked to Project ID#53396 and #350),"On January 19, 2016, China Eximbank expressed its willingness to finance Phase 2 of the Kribi Deep Sea Port Project. Then, on April 5, 2017, China Eximbank formally issued a $675.5 million ‘mixed credit’ to the Government of the Republic of Cameroon for Phase 2. It provided an RMB 1 billion government concessional loan (GCL) (captured via Project ID#53116) and a $524,579,992 preferential buyer's credit (PBC) loan (captured via Project ID#53396). The GCL carried the following borrowing terms: a 20 year maturity, a 2% interest rate, and a 7 year grace period. The PBC carried the following borrowing terms: a 22 year maturity, a 2% interest rate, and a 11 year grace period. Both loans were secured by (i.e. collateralized against) the revenues of the Autonomous Port of Kribi, which were to be deposited by the borrower into an escrow account (known as the ‘Control Account’).  The proceeds of the GCL and the PBC were to be used by the borrower to finance a commercial contract between China Harbour Engineering Company Limited and Cameroon's Ministry of Economy, Planning and Regional Development (MINEPAT). As of December 31, 2020, the GCL had achieved a 21.1% disbursement rate (with an undisbursed balance of CFA 64.9 billion) and its amount outstanding was equivalent to CFA 17.3 billion. As of December 31, 2020, the PBC had achieved a 25.6% disbursement rate (with an undisbursed balance of CFA 200.9 billion) and its amount outstanding was equivalent to CFA 31.4 billion. Phase 2 involved the construction of a 1,102m long quay, the expansion of the container terminal from 700m to 1,050m, and the addition of both an ore and oil terminal. China Harbour Engineering Company Limited was the contractor responsible for implementation. Phase 2 was completed on March 2, 2018.  China Eximbank also supported the Phase 1 of the Kribi Deep Sea Port Project (as captured via Project ID#350).There are some indications that the China Eximbank loan for the first and second phases of the Kribi Deep Sea Port Project may have financially underperformed vis-a-vis the original expectations of the lender. In January 2019, Cameroon unilaterally withheld debt service payments to China Eximbank. The lender responded by withholding new loan disbursements. Then, in July 2019, China Eximbank and the Government of Cameroon signed a debt rescheduling agreement (as captured via Project ID#88213). Under the terms of the agreement, China Eximbank agreed to reschedule 18 loans previously contracted by the Government of Cameroon — with scheduled principal repayments between July 2019 and March 2022 — by allowing the borrower to defer scheduled principal repayments between July 2019 and March 2022 to later dates but without any maturity extensions. The total amount of restructured debt was equivalent CFA 148 billion ($253 million) — or 70% of the loan principal that was scheduled for repayment between July 2019 and March 2022. Under the terms of the agreement, the Government of Cameroon agreed to repay 30% of the loan principal according to the original July 2019-March 2022 schedule (i.e. without any payment deferrals). The lender and the borrower also agreed to cancel the committed but undisbursed loan balances worth approximately CFA 10 billion (for certain loans with disbursement deadlines that had already passed). Then, in January 2020, the International Monetary Fund (IMF) classified the Government Cameroon as facing a high risk of debt distress. Eighteen months later, during an address before Cameroon’s National Assembly on June 28, 2021, the Minister of Water and Energy (MINEE) Gaston Eloundou Esommba provided an update on the ICBC-financed Bini à Warak Hydroelectric Power Plant Project. He noted that the project had been 'on hold' since November 2019 because ICBC suspended the loan agreement, even though the Government of Cameroon had already mobilized XAF 22 billion of counterpart funding. He also explained that 'the reason for this suspension is that Cameroon did not settle some of its debts towards China on time, so, it is in a cross-default situation.’",Completion,Development,Loan (excluding debt rescheduling),Yes,ODA-like,Export-Import Bank of China (China Eximbank),,"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)","China Harbour Engineering Co., Ltd.|Government of Cameroon",,170528641.0,2.7281082,9.86707244,https://www.openstreetmap.org/way/325526034,precise
4,Autonomous Port of Kribi,Cameroon,Africa,2017,53396,Yes,No,China (People's Republic of),0,2018,China Eximbank provides $524.5 million preferential buyer's credit for Phase 2 of Kribi Deep Sea Port Project (Linked to Project ID#53116 and #350),"On January 19, 2016, China Eximbank expressed its willingness to finance Phase 2 of the Kribi Deep Sea Port Project. Then, on April 5, 2017, China Eximbank formally issued a $675.5 million ‘mixed credit’ to the Government of the Republic of Cameroon for Phase 2. It provided an RMB 1 billion government concessional loan (GCL) (captured via Project ID#53116) and a $524,579,992 preferential buyer's credit (PBC) loan (captured via Project ID#53396). The GCL carried the following borrowing terms: a 20 year maturity, a 2% interest rate, and a 7 year grace period. The PBC carried the following borrowing terms: a 22 year maturity, a 2% interest rate, and a 11 year grace period. Both loans were secured by (i.e. collateralized against) the revenues of the Autonomous Port of Kribi, which were to be deposited by the borrower into an escrow account (known as the ‘Control Account’).  The proceeds of the GCL and the PBC were to be used by the borrower to finance a commercial contract between China Harbour Engineering Company Limited and Cameroon's Ministry of Economy, Planning and Regional Development (MINEPAT). As of December 31, 2020, the GCL had achieved a 21.1% disbursement rate (with an undisbursed balance of CFA 64.9 billion) and its amount outstanding was equivalent to CFA 17.3 billion. As of December 31, 2020, the PBC had achieved a 25.6% disbursement rate (with an undisbursed balance of CFA 200.9 billion) and its amount outstanding was equivalent to CFA 31.4 billion. Phase 2 involved the construction of a 1,102m long quay, the expansion of the container terminal from 700m to 1,050m, and the addition of both an ore and oil terminal. China Harbour Engineering Company Limited was the contractor responsible for implementation. Phase 2 was completed on March 2, 2018. There are some indications that the China Eximbank loan for Phase 2 of the Kribi Deep Sea Port Project may have financially underperformed vis-a-vis the original expectations of the lender. In January 2019, Cameroon unilaterally withheld debt service payments to China Eximbank. The lender responded by withholding new loan disbursements. Then, in July 2019, China Eximbank and the Government of Cameroon signed a debt rescheduling agreement (as captured via Project ID#88213). Under the terms of the agreement, China Eximbank agreed to reschedule 18 loans previously contracted by the Government of Cameroon — with scheduled principal repayments between July 2019 and March 2022 — by allowing the borrower to defer scheduled principal repayments between July 2019 and March 2022 to later dates but without any maturity extensions. The total amount of restructured debt was equivalent CFA 148 billion ($253 million) — or 70% of the loan principal that was scheduled for repayment between July 2019 and March 2022. Under the terms of the agreement, the Government of Cameroon agreed to repay 30% of the loan principal according to the original July 2019-March 2022 schedule (i.e. without any payment deferrals). The lender and the borrower also agreed to cancel the committed but undisbursed loan balances worth approximately CFA 10 billion (for certain loans with disbursement deadlines that had already passed). Then, in January 2020, the International Monetary Fund (IMF) classified the Government Cameroon as facing a high risk of debt distress. Eighteen months later, during an address before Cameroon’s National Assembly on June 28, 2021, the Minister of Water and Energy (MINEE) Gaston Eloundou Esommba provided an update on the ICBC-financed Bini à Warak Hydroelectric Power Plant Project. He noted that the project had been 'on hold' since November 2019 because ICBC suspended the loan agreement, even though the Government of Cameroon had already mobilized XAF 22 billion of counterpart funding. He also explained that 'the reason for this suspension is that Cameroon did not settle some of its debts towards China on time, so, it is in a cross-default situation.’",Completion,Mixed,Loan (excluding debt rescheduling),Yes,OOF-like,Export-Import Bank of China (China Eximbank),,"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)","China Harbour Engineering Co., Ltd.|Government of Cameroon",,604493541.2,2.7281082,9.86707244,https://www.openstreetmap.org/way/325526034,precise
5,Autonomous Port of Kribi,Cameroon,Africa,2018,57462,No,No,China (People's Republic of),2018,0,CDB pledges CFA 36 billion loan for Development Works of the Logistics Zone of the Kribi Port,"In 2018, China Development Bank agreed in principle to provide a FCFA 36 billion loan for development works of the Logistics Zone of the Kribi Port in South Cameroon. Kribi Logistics Park is located in the south of Kribi, a coastal city in Cameroon's Southern Province, next to the Kribi Deepwater Port, with a total land area of ​​about 455 hectares. The project aims to serve the Kribi deep-water port and the logistics distribution and port industrial area behind the port, relying on the Kribi Port and the free trade zone industry, to develop the two main service functions of bonded logistics and business logistics. According to the IMF, this loan is pending a compliance report. The Port Autonome de Kribi, or Port Authority of Kribi (PAK) is the project manager of this project (IMF). According to Business in Cameroon, PAK started operations in Cameroon in March of 2018. According to Xinhua Silk Road, China Harbour and Cameroon Kribi Port Authority signed a Investment Cooperation Framework Agreement on March 23, 2018. The terms of the agreement are unclear, as is the project status.",Pipeline: Pledge,Development,Loan (excluding debt rescheduling),Vague,Vague (Official Finance),China Development Bank (CDB),,Government of Cameroon,"China Harbour Engineering Co., Ltd.|Port Autonome de Kribi (PAK)",,70603906.65,2.7281082,9.86707244,https://www.openstreetmap.org/way/325526034,precise
6,Autonomous Port of Nouakchott,Mauritania,Africa,2009,36188,Yes,No,China (People's Republic of),2009,2014,China Eximbank provides RMB 2 billion government concessional loan for Phase 1 of Autonomous Port of Nouakchott Expansion Project (Linked to Project ID#56903),"In 2009, China Eximbank and the Government of Mauritania signed an RMB 2 billion government concessional loan (GCL) for Phase 1 of the Autonomous Port of Nouakchott Expansion Project. This loan carried the following terms: 20 year maturity, 2% interest rate, and a 5 year grace period. Phase 1 involved an expansion of Berth No. 4 and Berth No. 5 at the Autonomous Port of Nouakchott (French: Port Autonome de Nouakchott: Arabic: ميناء نواكشوط). It also involved the construction of a safety embankment of 5 kilometers to protect the harbor and the city of Nouakchott. Upon completion, it was envisaged that the project would raise the harbor's output to above four million tons per year and spur economic and social development in Mauritania. China Road and Bridge Corporation (CRBC) was the contractor responsible for implementation. A groundbreaking ceremony was held on September 25, 2009. The project was completed in June 2014 and a completion ceremony was held on August 3, 2014. The Chinese Government also provided a separate loan for Phase 2 of the Autonomous Port of Nouakchott Expansion Project, which involved the dredging of Berth No. 1, Berth No. 2, and Berth No. 3 at the Autonomous Port of Nouakchott.",Completion,Development,Loan (excluding debt rescheduling),Yes,ODA-like,Export-Import Bank of China (China Eximbank),,Government of Mauritania,China Road & Bridge Corporation (CRBC),,446096984.3,17.9942819,-16.025545,https://www.openstreetmap.org/relation/6681967#map=15/17.9949/-16.0270,precise
7,Autonomous Port of Nouakchott,Mauritania,Africa,2013,56903,Yes,No,China (People's Republic of),2014,2016,Chinese Government provides RMB 290 million interest-free loan for Phase 2 of the Autonomous Port of Nouakchott Expansion Project (Linked to Project ID#36188),"According to the Government of Mauritania’s Development Assistance Database (DAD), the Chinese Government and the Government of Mauritania signed an RMB 120 million interest-free loan for Phase 2 of the Autonomous Port of Nouakchott Expansion Project. The proceeds of this loan were drawn from an Economic and Technical Cooperation Agreement (ETCA) that was signed by the two governments in 2012. The total cost of the Phase 2 of the Autonomous Port of Nouakchott Expansion Project was RMB 290 million, and the Chinese Government reportedly covered the remainder of the project cost (RMB 170 million) with one or more additional interest-free loans. Phase 2 involved the dredging of Berth No. 1, Berth No. 2, and Berth No. 3 at the Autonomous Port of Nouakchott. It also involved construction of a 257 meter protective dike and counter-silting activities to address silting problems on the north side of the port. Upon completion, it was envisaged that the port’s capacity would increase from three million to six million tons per year. China Road and Bridge Corporation (CRBC), which is known locally as la Société nationale chinoise des travaux de ponts et chaussées (SNCTPC), was the contractor responsible for implementation. The project was originally expected to be undertaken between October 2, 2014 and August 2016. However its actual start date was November 30, 2014 and its actual completion date was April 30, 2016. Other relevant project milestones included a formal groundbreaking ceremony on November 27, 2014 and mid-term project acceptance by the funder (China’s Ministry of Commerce) on November 2, 2015. The Chinese Government also funded Phase 1 of this project through an RMB 2 billion government concessional loan from China Eximbank (see Project ID#36188).",Completion,Development,Loan (excluding debt rescheduling),Yes,ODA-like,China Ministry of Commerce,,Government of Mauritania,China Road & Bridge Corporation (CRBC),,53203329.36,17.9942819,-16.025545,https://www.openstreetmap.org/relation/6681967#map=15/17.9949/-16.0270,precise
8,Autonomous Port of San Pédro,Cote d'Ivoire,Africa,2017,92207,Yes,No,China (People's Republic of),2019,0,ICBC provides loan for San Pedro Port Extension Project,"On November 2, 2016, Terminal Industriel Polyvalent de San Pedro S.A. (TIPSP) — a project company and wholly owned subsidiary of Snedai Energies — was locally incorporated in the Ivory Coast. Then, on May 29, 2017, TIPSP was granted a 35-year a concession by the Government of Côte d’Ivoire to design, build, finance and operate a new bulk terminal in San Pedro, Ivory Coast with the capacity to accommodate “Panamax” and 'Handymax' vessels.On April 23, 2018, Mr. Hilaire Marcel LAMIZANA, Managing Director of the Autonomous Port of San Pedro (PASP), and Mr. Chen Mi Li, Managing Director West Africa of the China Harbor Engineering Co Ltd (CHEC), signed a memorandum of understanding (MOU) regarding the extension of San Pedro Port, Côte d’Ivoire’s second largest port (by tonnage). China Eximbank and ICBC reportedly competed with each other for the financing of this public-private partnership (PPP) project. The Government of Côte d’Ivoire later announced that ICBC would be the financier of the San Pedro Port Extension Project. The purpose of the project is to expand San Pedro Port, Côte d’Ivoire’s second largest port (by tonnage). It involves dredging a basin and access channel, rehabilitating or extending the west and east dikes, constructing a container terminal and terminal access road (current cement plant road), and backfilling 150 hectares in the port area. After the commissioning of the first phase of project (initially scheduled for completion at the end of 2021), the port will allow the processing of solid and liquid bulk cargoes, including ores (including manganese, nickel, and lithium), cement products, petroleum products, and fertilizers.CHEC is the EPC contractor responsible for implementation. A foundation stone laying ceremony took place on March 19, 2018. CHEC was then selected as the EPC contractor in June 2018. Construction began in June 2019. As of November 1, 2021, the project had achieved an 80% completion rate. 600 jobs were directly created during the construction phase, and once the port is in operation, it is expected to employ 120 people and create many more jobs indirectly in an around San Pedro.",Pipeline: Commitment,Mixed,Loan (excluding debt rescheduling),Vague,OOF-like,Industrial and Commercial Bank of China (ICBC),,Terminal Industriel Polyvalent de San Pedro S.A,"China Harbour Engineering Co., Ltd.",,0.0,4.74795192,-6.6179721,https://www.openstreetmap.org/way/22716658,precise
15,Beira Fishing Port,Mozambique,Africa,2014,40735,Yes,No,China (People's Republic of),2016,2019,China Eximbank provides $119.9 million concessional loan for Beira Fishing Port Rehabilitation Project,"On September 10, 2014, China Eximbank and the Government of Mozambique signed a $119,976,000 loan agreement for the Beira Fishing Port Rehabilitation Project. Then, on November 15, 2014, the Government of Mozambique ratified this loan agreement. The loan carries the following borrowing terms: a 2% interest rate, a 7 year grace period, and a 20 year maturity. This project involved the construction of a dock that is 377 meters long (compared with 188 meters previously) in order to allow 16 industrial vessels to be moored simultaneously. It also involved the installation of six cold stores, an ice factory with a capacity of 60 tonnes per day, a fish processing room with a capacity of 50 tonnes per day, and a handling capacity of 700,000 tons per year. Beira’s fishing port was destroyed by cyclone Eline, which struck the provincial capital of Sofala in February 2000. China Harbor Engineering Company (CHEC) was the contractor responsible for implementation. A groundbreaking ceremony took place on June 27, 2016 and the project was officially completed and handed over to the authorities in Mozambique on October 28, 2019.There are some indications that the China Eximbank loan for the Beira Fishing Port Rehabilitation Project may have financially underperformed vis-a-vis the original expectations of the lender. In 2016, several credit rating agencies downgraded the Government of Mozambique to 'selective default' or 'restricted default' status, and the World Bank and the IMF re-classified Mozambique's external debt as 'in distress.' In January 2017, the Government of Mozambique defaulted on a coupon payment for its dollar-denominated Eurobond. Then, in February 2018, the International Monetary Fund (IMF) announced that the Government of Mozambique had accumulated $710 million in arrears to external creditors and had agreed to reschedule some bilateral debt service payments with the Chinese Government. Two months later, in April 2018, Stelia Neta, a National Director at the Ministry of Finance of Mozambique revealed that the Government of Mozambique’s outstanding debt obligations to the Chinese Government amounted to $2.02 billion and the Chinese Government had agreed to extend the grace periods (and first principal repayments) on these outstanding debt obligations without changing their final maturity dates or interest rates (as captured via Project ID#66283).",Completion,Development,Loan (excluding debt rescheduling),Yes,ODA-like,Export-Import Bank of China (China Eximbank),,Government of Mozambique,"China Harbour Engineering Co., Ltd.",,132824857.5,-19.816415,34.8368554,https://www.openstreetmap.org/way/172425131,precise
