Country Name,Country Code,2021
Aruba,ABW,3103184101.51354
Africa Eastern and Southern,AFE,1086772164579.87
Afghanistan,AFG,14266499429.8746
Africa Western and Central,AFW,845993047006.805
Angola,AGO,66505129987.7235
Albania,ALB,17930565118.8176
Andorra,AND,3324683011.5903
Arab World,ARB,2969116805615.58
United Arab Emirates,ARE,415178792756.978
Argentina,ARG,487902572164.348
Armenia,ARM,13878908628.9378
American Samoa,ASM,750000000
Antigua and Barbuda,ATG,1601366666.66667
Australia,AUS,1559033756285.13
Austria,AUT,479295362747.047
Azerbaijan,AZE,54825411764.7059
Burundi,BDI,2775798697.46022
Belgium,BEL,600904461226.347
Benin,BEN,17687623530.3355
Burkina Faso,BFA,19643166853.6641
Bangladesh,BGD,416271647002.435
Bulgaria,BGR,84041493015.6618
Bahrain,BHR,39288670212.766
"Bahamas, The",BHS,11368900000
Bosnia and Herzegovina,BIH,23672712242.2149
Belarus,BLR,69673747131.87
Belize,BLZ,2424575179.3783
Bermuda,BMU,7286607000
Bolivia,BOL,40406111693.1983
Brazil,BRA,1670647399034.67
Barbados,BRB,4945276000
Brunei Darussalam,BRN,14006496617.4458
Bhutan,BTN,2768802803.18141
Botswana,BWA,18750946600.1423
Central African Republic,CAF,2516498412.46384
Canada,CAN,2007472181464.15
Central Europe and the Baltics,CEB,1908203520080.5
Switzerland,CHE,813408787222.499
Channel Islands,CHI,11138490591.657
Chile,CHL,315515014838.539
China,CHN,17820459508852.2
Cote d'Ivoire,CIV,72794636653.7793
Cameroon,CMR,44993521774.066
"Congo, Dem. Rep.",COD,55328482783.5393
"Congo, Rep.",COG,14825690210.0308
Colombia,COL,318524633225.395
Comoros,COM,1296089479.91978
Cabo Verde,CPV,2051842609.64558
Costa Rica,CRI,64960725734.1965
Caribbean small states,CSS,36706592898.6925
Cuba,CUB,
Curacao,CUW,2739608133.18436
Cayman Islands,CYM,6060026509.58539
Cyprus,CYP,29482912835.3642
Czechia,CZE,281791218507.1
Germany,DEU,4278503934689.85
Djibouti,DJI,3385825228.86997
Dominica,DMA,555266666.666667
Denmark,DNK,405687998852.691
Dominican Republic,DOM,94243425938.3647
Algeria,DZA,186265418570.697
East Asia & Pacific (excluding high income),EAP,20840018387172.9
Early-demographic dividend,EAR,12771307369960.5
East Asia & Pacific,EAS,31148240510250.8
Europe & Central Asia (excluding high income),ECA,1659440839146.7
Europe & Central Asia,ECS,25331394418403.8
Ecuador,ECU,107435101000
"Egypt, Arab Rep.",EGY,424671765455.704
Euro area,EMU,14754625131073.3
Eritrea,ERI,
Spain,ESP,1445651653604.63
Estonia,EST,36864792511.6351
Ethiopia,ETH,111261882958.426
European Union,EUU,17315127119106.5
Fragile and conflict affected situations,FCS,1796274437015.52
Finland,FIN,296470417085.267
Fiji,FJI,4305031649.74189
France,FRA,2959355819170.5
Faroe Islands,FRO,3655063937.93145
"Micronesia, Fed. Sts.",FSM,390000000
Gabon,GAB,20217946921.2065
United Kingdom,GBR,3141506156618.7
Georgia,GEO,18853115588.8106
Ghana,GHA,79524421861.2743
Gibraltar,GIB,
Guinea,GIN,16091817842.1318
"Gambia, The",GMB,2014158842.65394
Guinea-Bissau,GNB,1724555634.36594
Equatorial Guinea,GNQ,12215878032.7166
Greece,GRC,214667807441.202
Grenada,GRD,1122800000
Greenland,GRL,3235809504.29871
Guatemala,GTM,86053083476.0294
Guam,GUM,6234000000
